name;task;elapsedTime;taskStatus;headset x;headset y;headset z;Controller (left) x;Controller (left) y;Controller (left) z;Controller (right) x;Controller (right) y;Controller (right) z;distance;key;task_count;object_type;object_y_length;object_z_length;enlargement_factor;current_object_rotation_x;current_object_rotation_y;current_object_rotation_z;target_rotation_x;target_rotation_y;target_rotation_z
name;task;elapsedTime;taskStatus;headset x;headset y;headset z;Controller (left) x;Controller (left) y;Controller (left) z;Controller (right) x;Controller (right) y;Controller (right) z;distance;key;;;;;;;;;;;
Bruce;task2;1.444.757;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;1.648.896;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;1.902.184;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;2.127.216;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;2.374.383;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;3.537.955;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;3.738.991;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;3.951.005;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.168.797;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.385.927;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.645.724;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.806.565;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.037.731;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.267.189;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.470.929;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.694.427;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.889.894;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;6.099.039;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;6.309.183;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;6.514.014;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;6.725.863;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
name;task;elapsedTime;taskStatus;headset x;headset y;headset z;Controller (left) x;Controller (left) y;Controller (left) z;Controller (right) x;Controller (right) y;Controller (right) z;distance;key;;;;;;;;;;;
Bruce;task2;0.02;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;0.24;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;0.3011957;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;0.5194814;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;0.8623675;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;1.123.844;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;1.123.844;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;1.211.963;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;1.249.552;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;1.357.153;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;1.357.153;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;1.529.297;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;1.881.943;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;2.134.303;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;222.647;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;2.262.117;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;2.372.666;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;2.584.147;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;2.891.636;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;3.152.401;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;3.239.559;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;3.274.126;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;3.385.798;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;3.599.177;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;3.909.377;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;4.021.109;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.173.598;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;4.173.598;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.260.148;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;4.288.231;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;4.320.145;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.401.069;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;4.483.242;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.597.742;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;462.348;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;4.927.821;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;5.042.608;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;5.186.601;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;5.275.074;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;5.307.548;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;5.332;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;5.411.998;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;549.578;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;5.668.014;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;5.683.737;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;5.936.368;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.052.284;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.197.694;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.292.245;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.321.288;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.346.865;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.421.319;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.507.548;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.681.566;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.704.151;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;6.954.612;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.067.954;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.140.704;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;7.207.163;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.306.742;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.338.936;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.365.677;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.435.046;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.529.472;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.693.612;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.715.922;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;7.967.846;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.103.297;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.163.641;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.230.682;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.320.592;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.356.678;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.381.022;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.445.623;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;854.399;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.711.805;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.736.521;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;8.983.745;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.119.849;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.180.007;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.247.721;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.334.092;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.371.102;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.391.635;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.463.188;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.567.494;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.727.795;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;9.754.202;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;1.000.295;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;1.014.814;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;1.019.263;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce,task2,10.19263,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,;;;;;;;;;;;;;;;;;;;;;;;;;
